arb_independent_version_seal,ctx_after,ctx_before,ctx_inside,ctx_restored,flint_FLINT_VERSION,flint_version,imag_midpoint_rational,imag_radius_rational,input_block,input_imag_lower,input_imag_lower_ne_upper,input_imag_upper,input_label,input_parent,input_real_lower,input_real_lower_ne_upper,input_real_upper,input_source,matrix_id,output_finite,output_imag_lower,output_imag_lower_ne_upper,output_imag_upper,output_real_lower,output_real_lower_ne_upper,output_real_upper,output_type,phase_id,platform,precision_bits,python,python_flint_distribution,real_midpoint_rational,real_radius_rational,result,run_id,runtime_authorized,runtime_sys_executable
False,53,53,96,True,3.3.1,0.8.0,7/5,1/2000,CORE_PARENT,[1.399499999998079147189855576 +/- 4.44e-28],True,[1.400500000001920852810144424 +/- 4.34e-28],LBOX_P1,,[0.4989999999979772837832570076 +/- 1.13e-30],True,[0.5010000000020227162167429924 +/- 1.13e-30],replay_006E45,006E51_REPLAY_PLUS_CENTER_NANO_TIGHT,True,[0.3552149495239212444324786454 +/- 3.28e-29],True,[0.4164717703837744226951892167 +/- 2.82e-29],[0.5594272225161875106395284800 +/- 3.13e-29],True,[0.6184906594453240253032247691 +/- 6.28e-30],acb,006E51,Windows-11-10.0.26200-SP0,96,"3.12.13 (main, Mar  3 2026, 15:01:35) [MSC v.1944 64 bit (AMD64)]",0.8.0,1/2,1/1000,PASS,006E51-20260627T054202Z,C:\Users\johnn\AppData\Local\Temp\athena-006e20r\Scripts\python.exe,C:\Users\johnn\AppData\Local\Temp\athena-006e20r\Scripts\python.exe
False,53,53,128,True,3.3.1,0.8.0,7/5,1/2000,CORE_PARENT,[1.3994999999980791471898555755615234375 +/- 1.18e-39],True,[1.4005000000019208528101444244384765625 +/- 1.18e-39],LBOX_P1,,[0.49899999999797728378325700759887695313 +/- 5.00e-39],True,[0.50100000000202271621674299240112304688 +/- 5.00e-39],replay_006E45,006E51_REPLAY_PLUS_CENTER_NANO_TIGHT,True,[0.34576379960887975196917747555705968175 +/- 4.93e-40],True,[0.42592293302548027734835838376018468175 +/- 4.93e-40],[0.55122417957576593294322453497964511254 +/- 2.29e-39],True,[0.62669377437381675377070866583902011254 +/- 6.59e-40],acb,006E51,Windows-11-10.0.26200-SP0,128,"3.12.13 (main, Mar  3 2026, 15:01:35) [MSC v.1944 64 bit (AMD64)]",0.8.0,1/2,1/1000,PASS,006E51-20260627T054202Z,C:\Users\johnn\AppData\Local\Temp\athena-006e20r\Scripts\python.exe,C:\Users\johnn\AppData\Local\Temp\athena-006e20r\Scripts\python.exe
False,53,53,96,True,3.3.1,0.8.0,5599/4000,1/4000,CORE_SUBBOX,[1.399499999999039573594927788 +/- 2.30e-28],True,[1.400000000000960426405072212 +/- 2.09e-28],LBOX_P1_S1,LBOX_P1,[0.4992499999980791471898555756 +/- 4.38e-29],True,[0.5002500000019208528101444244 +/- 3.33e-29],replay_006E45,006E51_REPLAY_PLUS_CENTER_NANO_TIGHT,True,[0.3705068416848134113470481101 +/- 4.41e-29],True,[0.4011274352333329481998847190 +/- 3.71e-29],[0.5740852836944012558035769171 +/- 2.54e-29],True,[0.6036076011851745312981524176 +/- 1.37e-29],acb,006E51,Windows-11-10.0.26200-SP0,96,"3.12.13 (main, Mar  3 2026, 15:01:35) [MSC v.1944 64 bit (AMD64)]",0.8.0,1999/4000,1/2000,PASS,006E51-20260627T054202Z,C:\Users\johnn\AppData\Local\Temp\athena-006e20r\Scripts\python.exe,C:\Users\johnn\AppData\Local\Temp\athena-006e20r\Scripts\python.exe
False,53,53,128,True,3.3.1,0.8.0,5599/4000,1/4000,CORE_SUBBOX,[1.3994999999990395735949277877807617187 +/- 4.55e-38],True,[1.4000000000009604264050722122192382812 +/- 4.55e-38],LBOX_P1_S1,LBOX_P1,[0.49924999999807914718985557556152343750 +/- 4.00e-40],True,[0.50025000000192085281014442443847656250 +/- 4.00e-40],replay_006E45,006E51_REPLAY_PLUS_CENTER_NANO_TIGHT,True,[0.36577509176482876763045033609596912644 +/- 5.97e-41],True,[0.40585918004422878846823414957253162644 +/- 1.42e-39],[0.56997986467347461617357571240032147981 +/- 1.90e-39],True,[0.60771303842800650632746060009563397981 +/- 1.90e-39],acb,006E51,Windows-11-10.0.26200-SP0,128,"3.12.13 (main, Mar  3 2026, 15:01:35) [MSC v.1944 64 bit (AMD64)]",0.8.0,1999/4000,1/2000,PASS,006E51-20260627T054202Z,C:\Users\johnn\AppData\Local\Temp\athena-006e20r\Scripts\python.exe,C:\Users\johnn\AppData\Local\Temp\athena-006e20r\Scripts\python.exe
False,53,53,96,True,3.3.1,0.8.0,5601/4000,1/4000,CORE_SUBBOX,[1.399999999999039573594927788 +/- 2.45e-28],True,[1.400500000000960426405072212 +/- 1.95e-28],LBOX_P1_S2,LBOX_P1,[0.4992499999980791471898555756 +/- 4.38e-29],True,[0.5002500000019208528101444244 +/- 3.33e-29],replay_006E45,006E51_REPLAY_PLUS_CENTER_NANO_TIGHT,True,[0.3706546920177788770391714137 +/- 3.35e-29],True,[0.4012556369300728029205572170 +/- 4.40e-29],[0.5741827661932226327519991530 +/- 4.39e-29],True,[0.6036821054822545555692293777 +/- 3.42e-29],acb,006E51,Windows-11-10.0.26200-SP0,96,"3.12.13 (main, Mar  3 2026, 15:01:35) [MSC v.1944 64 bit (AMD64)]",0.8.0,1999/4000,1/2000,PASS,006E51-20260627T054202Z,C:\Users\johnn\AppData\Local\Temp\athena-006e20r\Scripts\python.exe,C:\Users\johnn\AppData\Local\Temp\athena-006e20r\Scripts\python.exe
False,53,53,128,True,3.3.1,0.8.0,5601/4000,1/4000,CORE_SUBBOX,[1.3999999999990395735949277877807617187 +/- 4.63e-38],True,[1.4005000000009604264050722122192382812 +/- 4.63e-38],LBOX_P1_S2,LBOX_P1,[0.49924999999807914718985557556152343750 +/- 4.00e-40],True,[0.50025000000192085281014442443847656250 +/- 4.00e-40],replay_006E45,006E51_REPLAY_PLUS_CENTER_NANO_TIGHT,True,[0.36593717155445970831565561971830737673 +/- 4.61e-39],True,[0.40597315224985264478378000936674487673 +/- 3.14e-39],[0.57008965685090115122887864424024353371 +/- 6.45e-40],True,[0.60777523303695088081452622724805603371 +/- 3.59e-39],acb,006E51,Windows-11-10.0.26200-SP0,128,"3.12.13 (main, Mar  3 2026, 15:01:35) [MSC v.1944 64 bit (AMD64)]",0.8.0,1999/4000,1/2000,PASS,006E51-20260627T054202Z,C:\Users\johnn\AppData\Local\Temp\athena-006e20r\Scripts\python.exe,C:\Users\johnn\AppData\Local\Temp\athena-006e20r\Scripts\python.exe
False,53,53,96,True,3.3.1,0.8.0,5599/4000,1/4000,CORE_SUBBOX,[1.399499999999039573594927788 +/- 2.30e-28],True,[1.400000000000960426405072212 +/- 2.09e-28],LBOX_P1_S3,LBOX_P1,[0.4997499999980791471898555756 +/- 4.59e-29],True,[0.5007500000019208528101444244 +/- 3.12e-29],replay_006E45,006E51_REPLAY_PLUS_CENTER_NANO_TIGHT,True,[0.3704470188450445009440927065 +/- 3.91e-29],True,[0.4010153160407584680289773500 +/- 2.20e-29],[0.5742477779701402123681014762 +/- 4.55e-29],True,[0.6037211216596005197277969108 +/- 2.84e-29],acb,006E51,Windows-11-10.0.26200-SP0,96,"3.12.13 (main, Mar  3 2026, 15:01:35) [MSC v.1944 64 bit (AMD64)]",0.8.0,2001/4000,1/2000,PASS,006E51-20260627T054202Z,C:\Users\johnn\AppData\Local\Temp\athena-006e20r\Scripts\python.exe,C:\Users\johnn\AppData\Local\Temp\athena-006e20r\Scripts\python.exe
False,53,53,128,True,3.3.1,0.8.0,5599/4000,1/4000,CORE_SUBBOX,[1.3994999999990395735949277877807617187 +/- 4.55e-38],True,[1.4000000000009604264050722122192382812 +/- 4.55e-38],LBOX_P1_S3,LBOX_P1,[0.49974999999807914718985557556152343750 +/- 2.54e-39],True,[0.50075000000192085281014442443847656250 +/- 2.54e-39],replay_006E45,006E51_REPLAY_PLUS_CENTER_NANO_TIGHT,True,[0.36572640505466515644825392877096458247 +/- 4.04e-39],True,[0.40573592833090479000843459283346458247 +/- 4.04e-39],[0.57015280821018193949630041172445148655 +/- 3.99e-39],True,[0.60781610989600692976882238438070148655 +/- 1.05e-39],acb,006E51,Windows-11-10.0.26200-SP0,128,"3.12.13 (main, Mar  3 2026, 15:01:35) [MSC v.1944 64 bit (AMD64)]",0.8.0,2001/4000,1/2000,PASS,006E51-20260627T054202Z,C:\Users\johnn\AppData\Local\Temp\athena-006e20r\Scripts\python.exe,C:\Users\johnn\AppData\Local\Temp\athena-006e20r\Scripts\python.exe
False,53,53,96,True,3.3.1,0.8.0,5601/4000,1/4000,CORE_SUBBOX,[1.399999999999039573594927788 +/- 2.45e-28],True,[1.400500000000960426405072212 +/- 1.95e-28],LBOX_P1_S4,LBOX_P1,[0.4997499999980791471898555756 +/- 4.59e-29],True,[0.5007500000019208528101444244 +/- 3.12e-29],replay_006E45,006E51_REPLAY_PLUS_CENTER_NANO_TIGHT,True,[0.3705948099198402287427093843 +/- 3.94e-29],True,[0.4011434920651489319268371920 +/- 3.72e-29],[0.5743452371638533598730415449 +/- 3.41e-29],True,[0.6037956404283442473957389937 +/- 2.29e-29],acb,006E51,Windows-11-10.0.26200-SP0,96,"3.12.13 (main, Mar  3 2026, 15:01:35) [MSC v.1944 64 bit (AMD64)]",0.8.0,2001/4000,1/2000,PASS,006E51-20260627T054202Z,C:\Users\johnn\AppData\Local\Temp\athena-006e20r\Scripts\python.exe,C:\Users\johnn\AppData\Local\Temp\athena-006e20r\Scripts\python.exe
False,53,53,128,True,3.3.1,0.8.0,5601/4000,1/4000,CORE_SUBBOX,[1.3999999999990395735949277877807617187 +/- 4.63e-38],True,[1.4005000000009604264050722122192382812 +/- 4.63e-38],LBOX_P1_S4,LBOX_P1,[0.49974999999807914718985557556152343750 +/- 2.54e-39],True,[0.50075000000192085281014442443847656250 +/- 2.54e-39],replay_006E45,006E51_REPLAY_PLUS_CENTER_NANO_TIGHT,True,[0.36588839371919307755840098255462572067 +/- 3.01e-39],True,[0.40584990673463467406642710560150072067 +/- 4.48e-39],[0.57026254926227153585733659186799042167 +/- 2.18e-39],True,[0.60787834680291013167680985846955292168 +/- 4.89e-39],acb,006E51,Windows-11-10.0.26200-SP0,128,"3.12.13 (main, Mar  3 2026, 15:01:35) [MSC v.1944 64 bit (AMD64)]",0.8.0,2001/4000,1/2000,PASS,006E51-20260627T054202Z,C:\Users\johnn\AppData\Local\Temp\athena-006e20r\Scripts\python.exe,C:\Users\johnn\AppData\Local\Temp\athena-006e20r\Scripts\python.exe
