chi3_zero_height,zero_index,ordinate,theoretical_real,theoretical_imag,estimated_real,estimated_imag,amplitude_ratio,phase_error
50.0,1,8.039737155681468,-0.00011814901449348997,-0.00016826959131127409,-0.00011564336181917468,-0.00016937405813834884,0.9974788787535713,0.013093867077518695
50.0,2,11.24920620777294,-4.418553088758311e-05,-3.701363840472283e-05,-4.639948298966565e-05,-3.563132057980092e-05,1.0149575654353398,-0.04242734995271257
50.0,3,15.704619176721625,-1.3804651924944902e-05,-7.616909173863834e-06,-1.577184179047345e-05,-7.3918956586595765e-06,1.1047482959337824,-0.06591996747885975
50.0,4,18.26199749569313,-7.905284910413012e-06,-3.6709380908824086e-06,-8.809579620261984e-06,-5.161520078638801e-06,1.1714368661892733,0.09525078159196586
50.0,5,20.455770807742496,-5.155685931097551e-06,-2.1114860444581387e-06,-5.626354887121678e-06,-5.704228797394145e-07,1.015057335808159,-0.28766890367344095
50.0,6,24.059414856493447,-2.7720401396302267e-06,-9.527201240870293e-07,-3.421051307553081e-06,2.1459277395862016e-07,1.1694136609271255,-0.3936867234363944
50.0,7,26.57786873577458,-1.8865747404035626e-06,-5.834018074837591e-07,-2.900459650125641e-06,-9.233042049602786e-07,1.5414189884140095,0.008276698625594214
50.0,8,28.218164506233386,-1.4949069657908186e-06,-4.3406615245117584e-07,-1.4648358924695198e-06,-1.3744677570632513e-06,1.290403794157242,0.4709888077598663
50.0,9,30.7450402613825,-1.0698166137522145e-06,-2.8401928662212683e-07,-4.778609878286127e-08,-4.738838931877156e-07,0.4302985558413522,1.2107987993189304
50.0,10,33.89738892725941,-7.29841332766828e-07,-1.7511066047981618e-07,-1.4078298486593943e-06,-1.5215651013768396e-07,1.8866429399202327,-0.12781770544249138
50.0,11,35.60841265393864,-6.014470736267157e-07,-1.3715677351876918e-07,-9.815633148565184e-07,-6.984704865579648e-07,1.952884404030716,0.39425164017548786
50.0,12,37.55179655636462,-4.879322506618134e-07,-1.0535184293227375e-07,-1.330129683533669e-06,-1.57432377483841e-07,2.6832488974652975,-0.09483989157924722
50.0,13,39.48520726092934,-4.00313637820177e-07,-8.20953812856334e-08,-9.315074750480872e-07,2.430475866295632e-07,2.355818557819989,-0.4575013775968116
50.0,14,42.61637922615756,-2.9615139749792265e-07,-5.6174625292217415e-08,3.156484388219078e-07,-2.099507100365218e-07,1.2576478707923717,2.3671919172292752
50.0,15,44.120572912072205,-2.581896263263606e-07,-4.727116143332167e-08,-3.7840431551247964e-07,5.937105205248658e-07,2.682274176659479,-1.1844433031897632
50.0,16,46.274118023513154,-2.1380377180041476e-07,-3.728989008996788e-08,5.660217988940001e-07,-1.7602247330856995e-07,2.731219512032296,2.667416678814557
50.0,17,47.51410451011732,-1.9254091863034678e-07,-3.269010866176166e-08,-7.539864219003893e-07,-5.307551309153852e-07,4.721343821417454,0.4451810731760672
100.0,1,8.039737155681468,-0.00011814901449348997,-0.00016826959131127409,-0.0001157124690116919,-0.00016943163473691578,0.9978996808093372,0.012973934334778114
100.0,2,11.24920620777294,-4.418553088758311e-05,-3.701363840472283e-05,-4.635958811352147e-05,-3.557342744187273e-05,1.0137969482824194,-0.04279729920546237
100.0,3,15.704619176721625,-1.3804651924944902e-05,-7.616909173863834e-06,-1.5774304608829115e-05,-7.293601257284415e-06,1.1022588065149939,-0.07110152384797751
100.0,4,18.26199749569313,-7.905284910413012e-06,-3.6709380908824086e-06,-8.884924942874542e-06,-5.11366013088734e-06,1.17615485023431,0.08750709507972143
100.0,5,20.455770807742496,-5.155685931097551e-06,-2.1114860444581387e-06,-5.5074064059582215e-06,-5.666340191598441e-07,0.9937485346441554,-0.2861826801480194
100.0,6,24.059414856493447,-2.7720401396302267e-06,-9.527201240870293e-07,-3.326283834688695e-06,2.817190688976977e-07,1.1388518531726086,-0.4155348508748527
100.0,7,26.57786873577458,-1.8865747404035626e-06,-5.834018074837591e-07,-2.9295590068844566e-06,-8.435190005276735e-07,1.5438031378030026,-0.019560472950891583
100.0,8,28.218164506233386,-1.4949069657908186e-06,-4.3406615245117584e-07,-1.5660576560175368e-06,-1.390996779209972e-06,1.345590688420613,0.44367355366074746
100.0,9,30.7450402613825,-1.0698166137522145e-06,-2.8401928662212683e-07,-6.987617717525391e-08,-5.705174361898923e-07,0.519281889691196,1.1894267078924994
100.0,10,33.89738892725941,-7.29841332766828e-07,-1.7511066047981618e-07,-1.4197469691847232e-06,-4.915787758332213e-08,1.8927308720434586,-0.20086800431941798
100.0,11,35.60841265393864,-6.014470736267157e-07,-1.3715677351876918e-07,-1.0778362823841525e-06,-6.056691607921606e-07,2.004176379812543,0.28774632835156577
100.0,12,37.55179655636462,-4.879322506618134e-07,-1.0535184293227375e-07,-1.3132807137374714e-06,-4.3345181642660484e-08,2.6323286113683113,-0.17965718147637055
100.0,13,39.48520726092934,-4.00313637820177e-07,-8.20953812856334e-08,-8.610968463465101e-07,3.7728324317918904e-07,2.300585524000193,-0.6152228251035752
100.0,14,42.61637922615756,-2.9615139749792265e-07,-5.6174625292217415e-08,2.216781051370258e-07,-3.897177820373298e-07,1.4874128541074192,1.9005163884312006
100.0,15,44.120572912072205,-2.581896263263606e-07,-4.727116143332167e-08,-1.4156538330413475e-07,5.739906479642813e-07,2.2523139259001805,-1.5100699664303348
100.0,16,46.274118023513154,-2.1380377180041476e-07,-3.728989008996788e-08,5.718525178772508e-07,-4.77619661216989e-07,3.4330272149664336,2.273070216698766
100.0,17,47.51410451011732,-1.9254091863034678e-07,-3.269010866176166e-08,-9.571184514671656e-07,-3.7858919321226406e-07,5.270321105696178,0.20848627673296918
100.0,18,50.37513865063626,-1.527048496453189e-07,-2.443151584414479e-08,-7.001923838908649e-07,5.164871124385808e-07,5.626195048202361,-0.7941882945599519
100.0,19,52.49674959906075,-1.2964791634652354e-07,-1.989255441329852e-08,2.416122092903867e-07,3.352301927055844e-07,3.1504254406185193,-2.347551278055233
100.0,20,54.193843101551906,-1.1426393620728835e-07,-1.6975906664399008e-08,-4.0144109803813584e-08,5.604371774714444e-07,4.863940457574397,-1.6467771383061367
100.0,21,55.64255870021623,-1.0289736436540421e-07,-1.488426142145052e-08,-5.500164996778039e-07,-3.572301671622123e-07,6.308116046034545,0.4323614376184697
100.0,22,57.58405636044918,-8.978826413925146e-08,-1.2545032738312782e-08,-5.686328724773503e-07,-2.396133194464134e-08,6.277684890236419,-0.09670573079345957
100.0,23,60.0268574567159,-7.611859612066901e-08,-1.0197706085269053e-08,-1.2832169749323696e-10,-5.991838907177494e-07,7.8020100785889355,1.4374038784024483
100.0,24,62.206078122282136,-6.605338938401264e-08,-8.536170081772695e-09,-5.934636715692683e-07,3.5884857968545463e-07,10.412810438750283,-0.6723639697479211
100.0,25,63.176992767339115,-6.210639220101237e-08,-7.901572980528163e-09,-4.827685551857774e-07,4.90589731544716e-07,10.993822682902827,-0.9199797823377642
100.0,26,65.2949255440837,-5.4469067762316267e-08,-6.703100981552143e-09,4.440808025605602e-07,2.704193452913736e-07,9.474074400300708,-2.7170711324018444
100.0,27,66.62313462553294,-5.027343406424568e-08,-6.062376912765982e-09,-4.6603991334506143e-07,-3.0294772457012686e-07,10.977035484553191,0.456399456848386
100.0,28,69.51302298598,-4.245346183070452e-08,-4.904855839321626e-09,-3.662081823276995e-07,3.1215975232212563e-07,11.25983221838359,-0.820916801556382
100.0,29,70.81979869554715,-3.941839151114319e-08,-4.469527459850013e-09,3.6565907434391924e-07,-2.1345427224269303e-07,10.672841694503985,2.5003011268574054
100.0,30,72.65614907069667,-3.5596888696373243e-08,-3.933468329625203e-09,3.1939795052428485e-07,-4.2248205965109815e-08,8.996035787365692,2.900027739430438
100.0,31,74.00542852100418,-3.308062515302888e-08,-3.5883115467731826e-09,-3.638436508002297e-07,9.026393749182603e-08,11.266017255026174,-0.35122418939312916
100.0,32,75.62240696403072,-3.035070398444591e-08,-3.2213292471038337e-09,-1.461945538467259e-07,-3.17058525130865e-07,11.439280974131911,1.0330120053287035
100.0,33,78.21748127092661,-2.653177307252831e-08,-2.721986717138124e-09,8.366568762917129e-08,-3.8758258262940057e-07,14.866689958516654,1.6811637675322717
100.0,34,79.63797575190779,-2.4694912995528155e-08,-2.488075789483147e-09,9.327564538941501e-08,3.764876377937356e-07,15.62736446556716,-1.91407201845498
100.0,35,81.61198760947144,-2.2398129077414184e-08,-2.2017729012719457e-09,3.7681030456671887e-07,2.788465890174964e-07,20.828402394411743,-2.602497213289117
100.0,36,82.47025251222198,-2.148303797992393e-08,-2.0897180929058463e-09,1.9198059940669319e-07,4.125997407763857e-07,21.083573357649776,-2.1032643946324123
100.0,37,84.41228663829341,-1.9578791189912224e-08,-1.860436706272725e-09,2.4482664038507795e-07,1.6484703957523167e-07,15.00747981462098,-2.6437356033355006
100.0,38,86.32764628301413,-1.7902871684441916e-08,-1.663248641835667e-09,3.8685478271188305e-07,-2.6575831392804396e-07,26.103737369557287,2.4470259893845436
100.0,39,88.6526172085394,-1.6102168142846324e-08,-1.456533373211474e-09,-4.6842569141660707e-07,2.7943972752663176e-07,33.736211760484565,-0.6280896983821002
100.0,40,89.6464027568417,-1.540178134333361e-08,-1.377662439526141e-09,-2.5750462807685715e-07,2.622826083547768e-07,23.769909473243466,-0.8838009230659306
100.0,41,91.3356103544331,-1.4296380919403014e-08,-1.255028152065936e-09,-3.214140506270559e-07,1.6364141410043365e-08,22.42507333175112,-0.13843099274494208
100.0,42,92.75346438711915,-1.3444147470395557e-08,-1.1620931006351924e-09,2.460972555887573e-07,-1.5771289205667917e-07,21.660768595237773,2.4854481978421252
100.0,43,94.39435879716339,-1.2535557565988782e-08,-1.0646398074055157e-09,2.7086827451602955e-07,1.8971896725017027e-07,26.28637514512102,-2.6153175520073586
100.0,44,96.8742520897853,-1.130314075707073e-08,-9.352970168805295e-10,-3.358037376301363e-07,2.6414787658232373e-07,37.67003854952742,-0.7490837673727724
100.0,45,98.12645490424191,-1.0738362441877876e-08,-8.771798891018551e-10,3.893048005112804e-07,6.605025547807022e-08,36.64965693923957,-3.0550365542612923
100.0,46,99.5334892640586,-1.0145172227076273e-08,-8.169643652979626e-10,-3.6744753338418494e-07,8.396397408278004e-08,37.03263173268283,-0.30500302036977295
143.0,1,8.039737155681468,-0.00011814901449348997,-0.00016826959131127409,-0.00011574934133217264,-0.00016945874873717235,0.9981097237067634,0.012900074072160095
143.0,2,11.24920620777294,-4.418553088758311e-05,-3.701363840472283e-05,-4.634187643088427e-05,-3.5549803994619864e-05,1.013303676773129,-0.04293357388441166
143.0,3,15.704619176721625,-1.3804651924944902e-05,-7.616909173863834e-06,-1.577674036817432e-05,-7.252518462591086e-06,1.1013081529954174,-0.07330793914175038
143.0,4,18.26199749569313,-7.905284910413012e-06,-3.6709380908824086e-06,-8.912986619914574e-06,-5.090999994950985e-06,1.1776547065550076,0.0842300154150264
143.0,5,20.455770807742496,-5.155685931097551e-06,-2.1114860444581387e-06,-5.448824881585593e-06,-5.663518846372861e-07,0.9832842408793705,-0.28513946733320106
143.0,6,24.059414856493447,-2.7720401396302267e-06,-9.527201240870293e-07,-3.289404775627638e-06,3.079679285538221e-07,1.127115108328829,-0.42439374482136594
143.0,7,26.57786873577458,-1.8865747404035626e-06,-5.834018074837591e-07,-2.935173782744943e-06,-8.104413337495025e-07,1.5419931358894865,-0.030509712627783347
143.0,8,28.218164506233386,-1.4949069657908186e-06,-4.3406615245117584e-07,-1.6038739629116135e-06,-1.3948076699363142e-06,1.3654545341707585,0.4331988698302318
143.0,9,30.7450402613825,-1.0698166137522145e-06,-2.8401928662212683e-07,-8.958302594670427e-08,-6.055654423057038e-07,0.5530481305954641,1.1644306468843513
143.0,10,33.89738892725941,-7.29841332766828e-07,-1.7511066047981618e-07,-1.4208442825510677e-06,-1.605645099817998e-08,1.8931802179762376,-0.2241784113108465
143.0,11,35.60841265393864,-6.014470736267157e-07,-1.3715677351876918e-07,-1.114291440914439e-06,-5.705126429655716e-07,2.0293003979725635,0.24898773991027223
143.0,12,37.55179655636462,-4.879322506618134e-07,-1.0535184293227375e-07,-1.294408838788702e-06,6.186217721384417e-10,2.5930902791693624,-0.21312839069900602
143.0,13,39.48520726092934,-4.00313637820177e-07,-8.20953812856334e-08,-8.363767151058976e-07,4.1355266619844095e-07,2.2832382023935387,-0.6614768326387516
143.0,14,42.61637922615756,-2.9615139749792265e-07,-5.6174625292217415e-08,1.9248137024014001e-07,-4.378024131315142e-07,1.5865829163894651,1.7975577539478602
143.0,15,44.120572912072205,-2.581896263263606e-07,-4.727116143332167e-08,-8.253789244089788e-08,5.64386913463728e-07,2.1730700204624145,-1.6066637014590104
143.0,16,46.274118023513154,-2.1380377180041476e-07,-3.728989008996788e-08,5.459105270001126e-07,-5.27480934829098e-07,3.4977176950243103,2.2006874612307037
143.0,17,47.51410451011732,-1.9254091863034678e-07,-3.269010866176166e-08,-9.703384120114678e-07,-3.2777329968509156e-07,5.244354550840864,0.15757975248928746
143.0,18,50.37513865063626,-1.527048496453189e-07,-2.443151584414479e-08,-6.536011115697155e-07,5.421376753316954e-07,5.4910927740587745,-0.8510967705214789
143.0,19,52.49674959906075,-1.2964791634652354e-07,-1.989255441329852e-08,2.712997987539285e-07,2.825036608796602e-07,2.986146229931568,-2.48821434943071
143.0,20,54.193843101551906,-1.1426393620728835e-07,-1.6975906664399008e-08,1.1370837326758624e-08,5.31425059294056e-07,4.601415305490965,-1.7396786109063236
143.0,21,55.64255870021623,-1.0289736436540421e-07,-1.488426142145052e-08,-5.678999591054883e-07,-2.9703914637230337e-07,6.164302064821815,0.33826071775389144
143.0,22,57.58405636044918,-8.978826413925146e-08,-1.2545032738312782e-08,-5.779223979507052e-07,2.2195392763306904e-08,6.379283343636205,-0.17720593260626694
143.0,23,60.0268574567159,-7.611859612066901e-08,-1.0197706085269053e-08,-6.179603381335946e-08,-5.818241148425302e-07,7.618578642324204,1.3318038867243924
143.0,24,62.206078122282136,-6.605338938401264e-08,-8.536170081772695e-09,-5.351404711841866e-07,4.3940629168350776e-07,10.39636307153313,-0.8159968429950075
143.0,25,63.176992767339115,-6.210639220101237e-08,-7.901572980528163e-09,-4.350840380436275e-07,5.466254424434935e-07,11.159128142816915,-1.0250791034544344
143.0,26,65.2949255440837,-5.4469067762316267e-08,-6.703100981552143e-09,4.508056093683563e-07,1.9716888605121288e-07,8.965709858041722,-2.8517381372411506
143.0,27,66.62313462553294,-5.027343406424568e-08,-6.062376912765982e-09,-4.88187792822743e-07,-2.2692683000968457e-07,10.6314633675517,0.31511347723034483
