chi3_zero_height,chi3_zero_count,zeta_zero_height,zeta_zero_count,split,model,rmse,mae,max_absolute_error
50.0,17,143.0,49,discovery,M0_pole,0.0002988947090248646,0.0002629170315700203,0.0005634593727722012
50.0,17,143.0,49,discovery,M1_pole_lzeros,3.6869192609979705e-05,2.093880645541549e-05,0.00012854600620762144
50.0,17,143.0,49,discovery,M2_pole_lzeros_cross,3.7068045001990976e-05,2.0974672422961306e-05,0.00013177395819881452
50.0,17,143.0,49,validation,M0_pole,0.00030686971884808526,0.00027050895591745465,0.0005469282399874222
50.0,17,143.0,49,validation,M1_pole_lzeros,5.351044669195539e-07,4.3633663388355697e-07,1.4286713680563504e-06
50.0,17,143.0,49,validation,M2_pole_lzeros_cross,4.957031103971018e-07,4.106930023051979e-07,1.2215010683744353e-06
100.0,46,143.0,49,discovery,M0_pole,0.0002988947090248646,0.0002629170315700203,0.0005634593727722012
100.0,46,143.0,49,discovery,M1_pole_lzeros,3.6862429547202577e-05,2.092128474198096e-05,0.00012799081377837945
100.0,46,143.0,49,discovery,M2_pole_lzeros_cross,3.706024206978371e-05,2.095971109249581e-05,0.00013135499902023912
100.0,46,143.0,49,validation,M0_pole,0.00030686971884808526,0.00027050895591745465,0.0005469282399874222
100.0,46,143.0,49,validation,M1_pole_lzeros,2.2635803091931585e-07,1.7354864826723398e-07,6.280572151797729e-07
100.0,46,143.0,49,validation,M2_pole_lzeros_cross,1.1383088030310256e-07,8.013313614002045e-08,3.446426126286323e-07
143.0,73,143.0,49,discovery,M0_pole,0.0002988947090248646,0.0002629170315700203,0.0005634593727722012
143.0,73,143.0,49,discovery,M1_pole_lzeros,3.686209750861277e-05,2.092067122501084e-05,0.00012797273649853107
143.0,73,143.0,49,discovery,M2_pole_lzeros_cross,3.70593783979907e-05,2.095956259750336e-05,0.00013123026729234665
143.0,73,143.0,49,validation,M0_pole,0.00030686971884808526,0.00027050895591745465,0.0005469282399874222
143.0,73,143.0,49,validation,M1_pole_lzeros,2.2241860234504135e-07,1.7133409736490878e-07,6.202791946910251e-07
143.0,73,143.0,49,validation,M2_pole_lzeros_cross,1.0618132908362876e-07,7.12358100392438e-08,3.231171279448656e-07
