x,c03,observed_z03,m0_pole,m1_pole_lzeros,m2_pole_lzeros_cross,split
1000,-162.6746814901527,-0.005144225111513165,-0.004997446611641171,-0.005272197848011696,-0.005275455378805511,discovery
1009,-164.0224931114741,-0.00511760379130498,-0.004975108769742318,-0.0052426814762523135,-0.005247125550284055,discovery
1017,-165.21636304611064,-0.005094148820580691,-0.004955502353487651,-0.005216703694815521,-0.0052221651720810594,discovery
1026,-166.5415490488657,-0.0050675910291749305,-0.004933719820111044,-0.005187896414429299,-0.005194225209114504,discovery
1035,-167.8565587032793,-0.0050411287628174045,-0.004912222028000245,-0.0051596133214468765,-0.005166476452566706,discovery
1044,-169.1738054132084,-0.005015132025367896,-0.004891002827168233,-0.005131914002670434,-0.005138951560316622,discovery
1053,-170.47897192533821,-0.0049891695251271725,-0.004870056251998477,-0.005104845235576853,-0.005111539193016143,discovery
1062,-171.7659331933985,-0.004963068371546194,-0.0048493765141988205,-0.0050784277558151725,-0.00508433692286459,discovery
1072,-173.2063391959645,-0.004934823278582256,-0.004826705158078951,-0.0050497919947828165,-0.005054413316785522,discovery
1081,-174.48830751212898,-0.004909392888802544,-0.004806570494904108,-0.0050245366568528,-0.005027673274488648,discovery
1090,-175.7672498920324,-0.004884253661724298,-0.004786685723619293,-0.004999589899609318,-0.0050012907999932325,discovery
1100,-177.199534505295,-0.004857060900658665,-0.004764878385952002,-0.004972024796791503,-0.004972422211529838,discovery
1109,-178.4733443056171,-0.0048325465096712575,-0.004745504506089562,-0.004947233758748627,-0.004946457194368024,discovery
1119,-179.8600474631794,-0.004804957756873977,-0.00472425269976403,-0.004919661232223737,-0.004917480237718941,discovery
1129,-181.2394260815704,-0.004777621774284657,-0.0047032838758878604,-0.004892047521012612,-0.004888689452797776,discovery
1138,-182.4925755297675,-0.004753700403713407,-0.0046846487355214845,-0.004867105284074246,-0.004863126075330248,discovery
1148,-183.86388026627935,-0.004726978088165742,-0.004664200585813946,-0.004839140207623738,-0.004834985266641272,discovery
1158,-185.2143535022504,-0.004700150895863715,-0.004644017883665281,-0.004810684964474909,-0.004806697769026703,discovery
1168,-186.54361676848376,-0.004673218944498861,-0.004624094935157861,-0.004781512597823944,-0.0047779566385365195,discovery
1179,-187.9494451426749,-0.004642696993733285,-0.0046024731188061465,-0.0047484096688322494,-0.00474581361749805,discovery
