N,partition_count,epsilon_min,centrality,best_pair,max_merged_rap_loss
4,1,0,1.0,2+2,0
6,1,0,1.0,3+3,1
8,1,2,0.3333333333333333,3+5,2
10,2,0,1.0,5+5,3
12,1,2,0.3333333333333333,5+7,5
14,2,0,1.0,7+7,5
16,2,6,0.14285714285714285,5+11,8
18,2,4,0.2,7+11,10
20,2,6,0.14285714285714285,7+13,11
22,3,0,1.0,11+11,9
24,3,2,0.3333333333333333,11+13,15
26,3,0,1.0,13+13,11
28,2,6,0.14285714285714285,11+17,17
30,3,4,0.2,13+17,20
32,2,6,0.14285714285714285,13+19,22
34,4,0,1.0,17+17,15
36,4,2,0.3333333333333333,17+19,26
38,2,0,1.0,19+19,17
40,3,6,0.14285714285714285,17+23,29
42,4,4,0.2,19+23,30
44,3,18,0.05263157894736842,13+31,29
46,4,0,1.0,23+23,21
48,5,10,0.09090909090909091,19+29,37
50,4,12,0.07692307692307693,19+31,38
52,3,6,0.14285714285714285,23+29,35
54,5,8,0.1111111111111111,23+31,43
56,3,18,0.05263157894736842,19+37,43
58,4,0,1.0,29+29,27
60,6,2,0.3333333333333333,29+31,48
62,3,0,1.0,31+31,29
64,5,18,0.05263157894736842,23+41,52
66,6,8,0.1111111111111111,29+37,50
68,2,6,0.14285714285714285,31+37,47
70,5,12,0.07692307692307693,29+41,56
72,6,10,0.09090909090909091,31+41,60
74,5,0,1.0,37+37,35
76,5,18,0.05263157894736842,29+47,53
78,7,4,0.2,37+41,60
80,4,6,0.14285714285714285,37+43,67
82,5,0,1.0,41+41,39
84,8,2,0.3333333333333333,41+43,70
86,5,0,1.0,43+43,41
88,4,6,0.14285714285714285,41+47,71
90,9,4,0.2,43+47,77
92,4,30,0.03225806451612903,31+61,65
94,5,0,1.0,47+47,45
96,7,10,0.09090909090909091,43+53,83
98,3,24,0.04,37+61,82
100,6,6,0.14285714285714285,47+53,86
102,8,16,0.058823529411764705,43+59,80
104,5,18,0.05263157894736842,43+61,85
106,6,0,1.0,53+53,51
108,8,14,0.06666666666666667,47+61,95
110,6,24,0.04,43+67,92
112,7,6,0.14285714285714285,53+59,97
114,10,8,0.1111111111111111,53+61,90
116,6,30,0.03225806451612903,43+73,83
118,6,0,1.0,59+59,57
120,12,2,0.3333333333333333,59+61,106
122,4,0,1.0,61+61,59
124,5,18,0.05263157894736842,53+71,89
126,10,8,0.1111111111111111,59+67,111
128,3,6,0.14285714285714285,61+67,114
130,7,12,0.07692307692307693,59+71,110
132,9,10,0.09090909090909091,61+71,114
134,6,0,1.0,67+67,65
136,5,30,0.03225806451612903,53+83,113
138,8,4,0.2,67+71,110
140,7,6,0.14285714285714285,67+73,124
142,8,0,1.0,71+71,69
144,11,2,0.3333333333333333,71+73,130
146,6,0,1.0,73+73,71
148,5,30,0.03225806451612903,59+89,107
150,12,8,0.1111111111111111,71+79,135
152,4,6,0.14285714285714285,73+79,127
154,8,12,0.07692307692307693,71+83,134
156,11,10,0.09090909090909091,73+83,136
158,5,0,1.0,79+79,77
160,8,18,0.05263157894736842,71+89,145
162,10,4,0.2,79+83,148
164,5,30,0.03225806451612903,67+97,119
166,6,0,1.0,83+83,81
168,13,10,0.09090909090909091,79+89,152
170,9,24,0.04,73+97,146
172,6,6,0.14285714285714285,83+89,125
174,11,28,0.034482758620689655,73+101,140
176,7,18,0.05263157894736842,79+97,157
178,7,0,1.0,89+89,87
180,14,14,0.06666666666666667,83+97,165
182,6,24,0.04,79+103,160
184,8,18,0.05263157894736842,83+101,155
186,13,8,0.1111111111111111,89+97,150
188,5,30,0.03225806451612903,79+109,137
190,8,12,0.07692307692307693,89+101,164
192,11,14,0.06666666666666667,89+103,177
194,7,0,1.0,97+97,95
196,9,18,0.05263157894736842,89+107,178
198,13,4,0.2,97+101,179
200,8,6,0.14285714285714285,97+103,184
202,9,0,1.0,101+101,99
204,14,2,0.3333333333333333,101+103,180
206,7,0,1.0,103+103,101
208,7,6,0.14285714285714285,101+107,187
210,19,4,0.2,103+107,193
212,6,6,0.14285714285714285,103+109,155
214,8,0,1.0,107+107,105
216,13,2,0.3333333333333333,107+109,201
218,7,0,1.0,109+109,107
220,9,6,0.14285714285714285,107+113,200
222,11,4,0.2,109+113,180
224,7,30,0.03225806451612903,97+127,207
226,7,0,1.0,113+113,111
228,12,26,0.037037037037037035,101+127,202
230,9,24,0.04,103+127,200
232,7,30,0.03225806451612903,101+131,197
234,15,20,0.047619047619047616,107+127,213
236,9,18,0.05263157894736842,109+127,173
238,9,24,0.04,107+131,212
240,18,14,0.06666666666666667,113+127,224
242,8,36,0.02702702702702703,103+139,218
244,9,18,0.05263157894736842,113+131,179
246,16,28,0.034482758620689655,109+137,200
248,6,30,0.03225806451612903,109+139,211
250,9,24,0.04,113+137,233
252,16,26,0.037037037037037035,113+139,235
254,9,0,1.0,127+127,125
256,8,42,0.023255813953488372,107+149,240
258,14,4,0.2,127+131,210
260,10,42,0.023255813953488372,109+151,238
262,9,0,1.0,131+131,129
264,16,10,0.09090909090909091,127+137,244
266,8,12,0.07692307692307693,127+139,238
268,9,6,0.14285714285714285,131+137,197
270,19,8,0.1111111111111111,131+139,254
272,7,54,0.01818181818181818,109+163,247
274,11,0,1.0,137+137,135
276,16,2,0.3333333333333333,137+139,246
278,7,0,1.0,139+139,137
280,14,18,0.05263157894736842,131+149,262
282,16,20,0.047619047619047616,131+151,230
284,8,30,0.03225806451612903,127+157,209
286,12,12,0.07692307692307693,137+149,260
288,17,10,0.09090909090909091,139+149,272
290,10,12,0.07692307692307693,139+151,254
292,8,66,0.014925373134328358,113+179,215
294,19,20,0.047619047619047616,137+157,275
296,8,18,0.05263157894736842,139+157,253
298,11,0,1.0,149+149,147
300,21,2,0.3333333333333333,149+151,283
302,9,0,1.0,151+151,149
304,10,30,0.03225806451612903,137+167,277
306,15,8,0.1111111111111111,149+157,281
308,8,6,0.14285714285714285,151+157,286
310,12,36,0.02702702702702703,137+173,272
312,17,14,0.06666666666666667,149+163,290
314,9,0,1.0,157+157,155
316,10,18,0.05263157894736842,149+167,233
318,15,16,0.058823529411764705,151+167,260
320,11,6,0.14285714285714285,157+163,303
322,11,24,0.04,149+173,290
324,20,10,0.09090909090909091,157+167,308
326,7,0,1.0,163+163,161
328,10,30,0.03225806451612903,149+179,281
330,24,4,0.2,163+167,309
332,6,30,0.03225806451612903,151+181,245
334,11,0,1.0,167+167,165
336,19,10,0.09090909090909091,163+173,318
338,9,24,0.04,157+181,310
340,13,6,0.14285714285714285,167+173,314
342,17,16,0.058823529411764705,163+179,315
344,10,18,0.05263157894736842,163+181,295
346,9,0,1.0,173+173,171
348,16,14,0.06666666666666667,167+181,312
350,13,36,0.02702702702702703,157+193,331
352,10,6,0.14285714285714285,173+179,331
354,20,8,0.1111111111111111,173+181,290
356,9,30,0.03225806451612903,163+193,263
358,10,0,1.0,179+179,177
360,22,2,0.3333333333333333,179+181,343
362,8,0,1.0,181+181,179
364,14,18,0.05263157894736842,173+191,340
366,18,20,0.047619047619047616,173+193,300
368,8,54,0.01818181818181818,157+211,337
370,14,12,0.07692307692307693,179+191,326
372,18,10,0.09090909090909091,181+191,334
374,10,12,0.07692307692307693,181+193,344
376,11,18,0.05263157894736842,179+197,323
378,22,16,0.058823529411764705,181+197,360
380,13,18,0.05263157894736842,181+199,352
382,10,0,1.0,191+191,189
384,19,2,0.3333333333333333,191+193,367
386,12,0,1.0,193+193,191
388,9,6,0.14285714285714285,191+197,287
390,27,4,0.2,193+197,367
392,11,6,0.14285714285714285,193+199,372
394,11,0,1.0,197+197,195
396,21,2,0.3333333333333333,197+199,375
398,7,0,1.0,199+199,197
400,14,54,0.01818181818181818,173+227,382
402,17,20,0.047619047619047616,191+211,330
404,11,18,0.05263157894736842,193+211,299
406,13,48,0.02040816326530612,179+227,368
408,20,14,0.06666666666666667,197+211,382
410,13,12,0.07692307692307693,199+211,362
412,11,54,0.01818181818181818,179+233,305
414,21,32,0.030303030303030304,191+223,383
416,10,30,0.03225806451612903,193+223,393
418,11,36,0.02702702702702703,191+227,386
420,30,26,0.037037037037037035,197+223,401
422,11,0,1.0,211+211,209
424,12,30,0.03225806451612903,197+227,365
426,21,28,0.034482758620689655,199+227,350
428,9,30,0.03225806451612903,199+229,317
430,14,36,0.02702702702702703,197+233,380
432,19,34,0.02857142857142857,199+233,415
434,13,12,0.07692307692307693,211+223,394
436,11,42,0.023255813953488372,197+239,323
438,21,16,0.058823529411764705,211+227,360
440,14,18,0.05263157894736842,211+229,418
442,13,60,0.01639344262295082,191+251,410
444,21,22,0.043478260869565216,211+233,400
446,12,0,1.0,223+223,221
448,13,54,0.01818181818181818,197+251,429
450,27,4,0.2,223+227,432
452,12,6,0.14285714285714285,223+229,335
454,12,0,1.0,227+227,225
456,24,2,0.3333333333333333,227+229,428
458,9,0,1.0,229+229,227
460,16,6,0.14285714285714285,227+233,428
462,28,4,0.2,229+233,439
464,12,18,0.05263157894736842,223+241,427
466,13,0,1.0,233+233,231
468,24,10,0.09090909090909091,229+239,445
470,15,12,0.07692307692307693,229+241,416
472,13,6,0.14285714285714285,233+239,407
474,23,8,0.1111111111111111,233+241,390
476,14,78,0.012658227848101266,199+277,448
478,11,0,1.0,239+239,237
480,29,2,0.3333333333333333,239+241,462
482,11,0,1.0,241+241,239
484,14,18,0.05263157894736842,233+251,458
486,23,28,0.034482758620689655,229+257,469
488,9,66,0.014925373134328358,211+277,421
490,19,12,0.07692307692307693,239+251,469
