chi5_zero_height,zero_index,ordinate,theoretical_real,theoretical_imag,estimated_real,estimated_imag,amplitude_ratio,phase_error
50.0,1,6.648453344727717,-0.00017174495727659186,-0.00037489043350896355,-0.00017701884580047155,-0.0003723097368154155,0.9997383919570763,-0.014238291012375726
50.0,2,9.83144443288667,-6.768773259095592e-05,-6.8757275488576e-05,-6.534571778397134e-05,-7.004986355148024e-05,0.9928770307804945,0.026891270627448446
50.0,3,11.958845626083516,-3.6045245013555104e-05,-2.782304423796043e-05,-3.8216523268844156e-05,-3.0209101167387915e-05,1.069837263935476,0.011538736613773803
50.0,4,16.033821128384233,-1.279719954850965e-05,-6.892544014038675e-06,-1.120128656405822e-05,-5.2396201508171405e-06,0.850767834103661,-0.056514643018398036
50.0,5,17.566994292325553,-9.136059600824652e-06,-4.431947857773125e-06,-1.0839468855101693e-05,-3.329261573761346e-06,1.1166924685773392,-0.15366413425229594
50.0,6,19.540732622784752,-6.130382507476062e-06,-2.6402548257688127e-06,-6.741093163994084e-06,-1.115490632461772e-06,1.0236704686326703,-0.24268460462114305
50.0,7,22.227405454459415,-3.757031724517249e-06,-1.4058293376420929e-06,-4.177309374768891e-06,4.439312181616165e-08,1.041408125737054,-0.36868379538740675
50.0,8,24.58846621740819,-2.5490962564431565e-06,-8.560164136993227e-07,-2.8394929499745303e-06,-2.7207448373169576e-06,1.4624753065797322,0.4400653017241334
50.0,9,26.77609594800414,-1.832966437137282e-06,-5.623999974170426e-07,-2.586856090403688e-06,1.8793303366512927e-07,1.3527702983325305,-0.370228270817836
50.0,10,28.461035100177526,-1.4458508083765585e-06,-4.160679679512015e-07,-2.741381981488271e-06,-4.5355163386520093e-07,1.8468599142843525,-0.11623520003730237
50.0,11,29.707909350480968,-1.2232761123685643e-06,-3.365845074185387e-07,-3.8218838365420073e-07,5.528481132034269e-07,0.5297338980868078,-1.2344334217494082
50.0,12,33.00045600687052,-8.108185440016263e-07,-2.0001057647328276e-07,-1.6440572253435881e-06,-1.3299618708849477e-07,1.975070992678562,-0.16112969627602114
50.0,13,34.72881297890481,-6.635866438413843e-07,-1.5528016273027462e-07,-1.599334273463664e-06,-6.29625898932002e-07,2.5220485825951537,0.1451808932167702
50.0,14,35.86863837181228,-5.844667208061954e-07,-1.3228870566654986e-07,-1.253804729410203e-06,9.745244864096442e-07,2.6499647658015304,-0.8833069394772031
50.0,15,38.12918472143653,-4.594597175864002e-07,-9.766226446122771e-08,4.968813065475129e-07,-5.725959038706004e-07,1.6139828548504915,2.0760747444472014
50.0,16,39.560572946403184,-3.973132285280422e-07,-8.132105937711497e-08,-8.172161756806111e-07,7.951509418863452e-07,2.811545020726543,-0.973603061869323
50.0,17,41.842438545791694,-3.1839870060762574e-07,-6.153566276490289e-08,-3.1077172696851e-08,-8.370959174323214e-07,2.583092694658532,1.3427760708233483
50.0,18,44.031290061441695,-2.602670014693862e-07,-4.775001535496022e-08,-1.0754776679881316e-06,3.7140024191343507e-07,4.2998995068315695,-0.5139606611903276
50.0,19,45.427300082782295,-2.3002495363562637e-07,-4.0880541273528475e-08,4.5505949718418274e-07,-8.052639285520203e-07,3.9590401325787137,1.909277481238946
50.0,20,46.49272715949141,-2.0985000111781378e-07,-3.642518552390378e-08,-1.8601604468204757e-07,-1.127954579303381e-06,5.367396050717031,1.2354881029712272
50.0,21,48.34566182106785,-1.7974746271799405e-07,-2.9984502329362713e-08,-2.4127435552049276e-07,-5.26528454739655e-07,3.178251055168667,0.9758217728810843
100.0,1,6.648453344727717,-0.00017174495727659186,-0.00037489043350896355,-0.00017698017587810042,-0.00037216411036062,0.9993791861898584,-0.014305284333682167
