chi5_zero_height,chi5_zero_count,zeta_zero_height,zeta_zero_count,split,model,rmse,mae,max_absolute_error
50.0,21,143.0,49,discovery,M0_local,0.0005946809671344262,0.0005277609925457478,0.0010257528330226782
50.0,21,143.0,49,discovery,M1_local_lzeros,4.4332878809243314e-05,2.534815665948879e-05,0.00015219816017780774
50.0,21,143.0,49,discovery,M2_local_lzeros_cross,4.4242861922259925e-05,2.5311268760724195e-05,0.00014260004774678536
50.0,21,143.0,49,validation,M0_local,0.0006038552803358335,0.0005330813806000261,0.0010996080950371476
50.0,21,143.0,49,validation,M1_local_lzeros,5.473609043397165e-07,4.568142618632309e-07,1.3808082594815238e-06
50.0,21,143.0,49,validation,M2_local_lzeros_cross,4.797578457343575e-07,3.9182938557578523e-07,1.4545680625697652e-06
100.0,54,143.0,49,discovery,M0_local,0.0005946809671344262,0.0005277609925457478,0.0010257528330226782
100.0,54,143.0,49,discovery,M1_local_lzeros,4.431264660362857e-05,2.5309197925766496e-05,0.0001522830737127681
100.0,54,143.0,49,discovery,M2_local_lzeros_cross,4.422776428837658e-05,2.5277361351382903e-05,0.0001427415118995662
100.0,54,143.0,49,validation,M0_local,0.0006038552803358335,0.0005330813806000261,0.0010996080950371476
100.0,54,143.0,49,validation,M1_local_lzeros,2.850278429100215e-07,2.2832479488855418e-07,7.043411850739256e-07
100.0,54,143.0,49,validation,M2_local_lzeros_cross,1.3407110445103656e-07,1.0052190889718165e-07,4.058016254988167e-07
143.0,85,143.0,49,discovery,M0_local,0.0005946809671344262,0.0005277609925457478,0.0010257528330226782
143.0,85,143.0,49,discovery,M1_local_lzeros,4.431251085524854e-05,2.5309207217349837e-05,0.0001523022383421828
143.0,85,143.0,49,discovery,M2_local_lzeros_cross,4.4227415397302664e-05,2.5277252037154394e-05,0.00014271300547110538
143.0,85,143.0,49,validation,M0_local,0.0006038552803358335,0.0005330813806000261,0.0010996080950371476
143.0,85,143.0,49,validation,M1_local_lzeros,2.804768036978571e-07,2.240727708513846e-07,6.84260990488697e-07
143.0,85,143.0,49,validation,M2_local_lzeros_cross,1.2596052747994743e-07,9.09628575413284e-08,3.1897969337505577e-07
