x,c05,observed_z05,m0_local,m1_local_lzeros,m2_local_lzeros_cross,split
1000,-815.3269040162797,-0.0257829005430493,-0.02662847178922853,-0.025935202781391484,-0.025925613548520406,discovery
1009,-823.9855198046091,-0.025708860657706258,-0.026556457395166176,-0.025858941457829014,-0.025850497826982347,discovery
1017,-831.7628228295773,-0.025645907734560214,-0.026493074476737755,-0.025794471190872366,-0.025787104299641195,discovery
1026,-840.6172124858435,-0.025578627491409843,-0.0264224647869819,-0.025725798696858943,-0.025719418115646445,discovery
1035,-849.603583142565,-0.025515601493676036,-0.02635257922137476,-0.025661211875974692,-0.02565572671045171,discovery
1044,-858.7163210292706,-0.02545651622472609,-0.026283404706161136,-0.025600576216056947,-0.02559597902184333,discovery
1053,-867.9459933910848,-0.02540096089727425,-0.02621492850480643,-0.02554364158870937,-0.025540090927926282,discovery
1062,-877.316813333367,-0.02534951632800185,-0.026147138206728673,-0.025490062646440725,-0.025488023714994146,discovery
1072,-887.8771546476974,-0.025296515541036957,-0.026072605406713457,-0.02543393770879605,-0.02543400269013829,discovery
1081,-897.469317933597,-0.02525114461939176,-0.02600622377620237,-0.025385945172574864,-0.025387951766825026,discovery
1090,-907.1380658925589,-0.02520772454906614,-0.025940491407502146,-0.025339820571722772,-0.025343694741916823,discovery
1100,-917.9577525988491,-0.02516133420469646,-0.02586820333422354,-0.025290258856270002,-0.025295837938137222,discovery
1109,-927.7091423740114,-0.025119703983876907,-0.025803805250921952,-0.025246875520570873,-0.025253343015577776,discovery
1119,-938.5806989750376,-0.025074165572626973,-0.025732973107972425,-0.0251998627151832,-0.02520663275930025,discovery
1129,-949.5082140702762,-0.02502982500266027,-0.02566288651102834,-0.025154035597073198,-0.02516057463675276,discovery
1138,-959.3587942154668,-0.02499008123551952,-0.025600434599638004,-0.02511376893916492,-0.025119795879883968,discovery
1148,-970.357734738285,-0.024947040947613727,-0.025531726814121875,-0.025070069579204397,-0.025075503050706775,discovery
1158,-981.4382477456707,-0.02490577955838979,-0.025463725540463805,-0.02502742514603678,-0.025032442835101483,discovery
1168,-992.5574527403769,-0.02486516757851089,-0.02539641799992453,-0.024985812468086854,-0.024990462851781144,discovery
1179,-1004.8403908476444,-0.02482140587448261,-0.025323166119290922,-0.02494121046516263,-0.024945295083687313,discovery
1189,-1016.0696658494496,-0.02478281894187853,-0.02525727527873875,-0.024901690424324663,-0.024905075448985015,discovery
1199,-1027.3277569184115,-0.024744589166777246,-0.02519204060680302,-0.024863092236566284,-0.024865575799025156,discovery
1209,-1038.628816280263,-0.024707051269630357,-0.02512745061017035,-0.024825375880521704,-0.024826745012903894,discovery
1220,-1051.1276474954868,-0.024666964758490596,-0.025057132848219334,-0.02478492776208646,-0.024785034075027277,discovery
1231,-1063.6828518761959,-0.024627769398796517,-0.024987567063946524,-0.02474568715951799,-0.02474475157890705,discovery
1241,-1075.1843944902212,-0.02459377978718377,-0.02492496608433538,-0.024711214629097176,-0.024709584575867524,discovery
1252,-1087.9393654799437,-0.024558294215424742,-0.02485679696683691,-0.024674771799216816,-0.02467271811847678,discovery
1263,-1100.7862297842382,-0.024524375793364233,-0.024789339753896265,-0.024639963450163827,-0.02463787419486666,discovery
1274,-1113.7511550927643,-0.02449255124943722,-0.02472258137941077,-0.024606777983344413,-0.02460489433217577,discovery
1285,-1126.8119296811624,-0.024462269403706657,-0.024656509119751115,-0.02457512455189799,-0.024573485722045867,discovery
1296,-1139.9436242533893,-0.0244329480506985,-0.02459111058213037,-0.02454488457629741,-0.024543415189634734,discovery
1307,-1153.178253051884,-0.024405238849918118,-0.024526373693456772,-0.024515956120225113,-0.024514526732390404,discovery
1319,-1167.6810358620758,-0.024375696486117267,-0.024456492425541092,-0.024485807388751224,-0.024484045758834675,discovery
1330,-1181.038470935312,-0.02434930574704061,-0.02439310132093975,-0.024459390566262208,-0.02445683208677388,discovery
1342,-1195.7242424076596,-0.024322166691474408,-0.024324661236146482,-0.024431791459441476,-0.02442826472347514,discovery
1353,-1209.2633033636575,-0.024298204280715177,-0.02426256715471003,-0.024407478366708254,-0.0244034746684556,discovery
