zero_height,zero_count,split,model,rmse,mae,max_absolute_error
50.0,10,discovery,M0_pole_correction,7.51596103922273e-05,6.466932946325593e-05,0.00018901539595537337
50.0,10,discovery,M1_pole_linear,3.188482392776046e-05,1.7379957034588294e-05,0.00011838839755503802
50.0,10,discovery,M2_pole_linear_double,3.189343333354624e-05,1.7378721067732106e-05,0.00011568046574579952
50.0,10,validation,M0_pole_correction,6.980854185627089e-05,6.212179595009081e-05,0.00012108477962101101
50.0,10,validation,M1_pole_linear,6.649922370700968e-07,5.187287564166938e-07,1.9015006262432677e-06
50.0,10,validation,M2_pole_linear_double,6.523382709308741e-07,5.026279552656086e-07,1.8248401950037279e-06
100.0,29,discovery,M0_pole_correction,7.51596103922273e-05,6.466932946325593e-05,0.00018901539595537337
100.0,29,discovery,M1_pole_linear,3.1865252729913766e-05,1.7307342502984875e-05,0.00011869521371059982
100.0,29,discovery,M2_pole_linear_double,3.1878911665907346e-05,1.731048514444279e-05,0.00011610696418011546
100.0,29,validation,M0_pole_correction,6.980854185627089e-05,6.212179595009081e-05,0.00012108477962101101
100.0,29,validation,M1_pole_linear,1.415537461687686e-07,1.0842227244240308e-07,4.4701362335568956e-07
100.0,29,validation,M2_pole_linear_double,8.626044416294859e-08,7.121453043236529e-08,2.5399996158225954e-07
143.0,49,discovery,M0_pole_correction,7.51596103922273e-05,6.466932946325593e-05,0.00018901539595537337
143.0,49,discovery,M1_pole_linear,3.1865692593472496e-05,1.730668674482971e-05,0.00011876497644377343
143.0,49,discovery,M2_pole_linear_double,3.1879566486009046e-05,1.7310898298614667e-05,0.00011612457591653885
143.0,49,validation,M0_pole_correction,6.980854185627089e-05,6.212179595009081e-05,0.00012108477962101101
143.0,49,validation,M1_pole_linear,1.25574190772832e-07,9.448086120568879e-08,4.5259538794355236e-07
143.0,49,validation,M2_pole_linear_double,5.757272858089859e-08,4.3291600353743564e-08,1.8860301699520285e-07
