x,c2,observed_z1,split
1000,41060.018169504125,-0.019183909901518192,discovery
1009,41807.71924009848,-0.01910484051462818,discovery
1017,42477.962224495626,-0.019036810302314043,discovery
1026,43238.31170702982,-0.01896261576152335,discovery
1035,44005.36826726748,-0.01889055725245114,discovery
1044,44779.12695720294,-0.01882071589746068,discovery
1053,45559.593206908874,-0.018752864111280035,discovery
1062,46346.786191980675,-0.018686387843909608,discovery
1072,47229.34700472103,-0.01861373602773962,discovery
1081,48030.75402167329,-0.018549678899148388,discovery
1090,48838.912306376325,-0.018486214281796264,discovery
1100,49744.78377774652,-0.018416392112464153,discovery
1109,50567.1987381377,-0.018354043238853063,discovery
1119,51488.94813896433,-0.01828445061218767,discovery
1129,52419.09993869599,-0.018213797713246237,discovery
1138,53263.42590442952,-0.018149214197429382,discovery
1148,54209.559617000894,-0.01807626170290556,discovery
1158,55164.117634109396,-0.018001867023281933,discovery
1168,56127.05693525827,-0.017927179774990063,discovery
1179,57195.977406771446,-0.017844549271302176,discovery
1189,58176.53692216484,-0.017768861514229295,discovery
1199,59165.4558132574,-0.017693501443845672,discovery
1209,60162.74847032814,-0.017618130128322394,discovery
1220,61269.44041155596,-0.017535266763605707,discovery
1231,62386.25589579347,-0.01745262895647384,discovery
1241,63410.33615958842,-0.01737751221087227,discovery
1252,64546.48120714183,-0.017295272637083588,discovery
1263,65692.73397577793,-0.01721364086749706,discovery
1274,66849.12333764564,-0.017131976541017047,discovery
1285,68015.6142262673,-0.017051059842390758,discovery
1296,69192.1835166878,-0.016971375242459685,discovery
1307,70378.85141482667,-0.016892465403572865,discovery
1319,71684.91319671352,-0.016807301491730476,discovery
1330,72892.68829461787,-0.016730136633465655,discovery
1342,74221.82414259395,-0.016645864134310014,discovery
1353,75450.8043265595,-0.016568423610816226,discovery
1365,76803.08498433925,-0.01648365769729049,discovery
1377,78167.39983092519,-0.016399486112844797,discovery
1389,79543.73320526571,-0.01631620671392674,discovery
1401,80932.08626943897,-0.016233780940251644,discovery
1413,82332.42414428084,-0.016152850329493595,discovery
1425,83744.73320898844,-0.016073628483725996,discovery
1438,85288.18324492051,-0.01599078923285477,discovery
1450,86725.30034764818,-0.01591735190494796,discovery
1463,88295.57452050841,-0.015841494665150842,discovery
1476,89879.78536795592,-0.01576929347585363,discovery
1488,91354.531702573,-0.015705293662007305,discovery
1501,92965.61437592335,-0.015638566612295707,discovery
1514,94590.68343488133,-0.01557432821942988,discovery
1527,96229.74149018753,-0.015512454225606426,discovery
1541,98010.50433870393,-0.015448726865412495,discovery
1554,99678.58179725287,-0.015392086595929676,discovery
1568,101490.59051851678,-0.015333898974188156,discovery
