zero_height,zero_count,split,model,rmse,mae,max_absolute_error
50.0,10,discovery,M0_pole_correction,0.0012299174899479824,0.0008109076062710773,0.003637423392336761
50.0,10,discovery,M1_pole_linear,0.0012225821782348596,0.0008077307251220469,0.0035185245948171073
50.0,10,discovery,M2_pole_linear_double,0.00122250010091891,0.0008077262539336865,0.0035155131243067225
50.0,10,validation,M0_pole_correction,7.181742195370934e-05,6.338074934166869e-05,0.0001357272806504252
50.0,10,validation,M1_pole_linear,1.84384232503349e-05,1.528033220318332e-05,3.968550094311275e-05
50.0,10,validation,M2_pole_linear_double,1.8409228109097945e-05,1.5280178928539268e-05,3.865625105175033e-05
100.0,29,discovery,M0_pole_correction,0.0012299174899479824,0.0008109076062710773,0.003637423392336761
100.0,29,discovery,M1_pole_linear,0.0012225896091983912,0.0008077372729964271,0.0035182159096752985
100.0,29,discovery,M2_pole_linear_double,0.0012224410442736224,0.000807688831313634,0.0035135023644743066
100.0,29,validation,M0_pole_correction,7.181742195370934e-05,6.338074934166869e-05,0.0001357272806504252
100.0,29,validation,M1_pole_linear,1.8405778239176506e-05,1.527179178799323e-05,3.945095662328396e-05
100.0,29,validation,M2_pole_linear_double,1.8359363946495853e-05,1.526040611565282e-05,3.830617784177093e-05
143.0,49,discovery,M0_pole_correction,0.0012299174899479824,0.0008109076062710773,0.003637423392336761
143.0,49,discovery,M1_pole_linear,0.001222593577322489,0.0008077379762381063,0.00351829158243009
143.0,49,discovery,M2_pole_linear_double,0.001222421934960888,0.0008076792242437719,0.0035137141755320414
143.0,49,validation,M0_pole_correction,7.181742195370934e-05,6.338074934166869e-05,0.0001357272806504252
143.0,49,validation,M1_pole_linear,1.840950472882401e-05,1.5273929982885555e-05,3.9597368970092917e-05
143.0,49,validation,M2_pole_linear_double,1.8350292730559677e-05,1.5254237418083943e-05,3.8458981476204024e-05
