x,c2,observed_z1,split
100,359.04152117869194,-0.05762514548797475,discovery
104,390.6251328409005,-0.05661112289268177,discovery
108,423.4996794284682,-0.0556860754728577,discovery
112,457.6528376079798,-0.054850262585889625,discovery
117,502.2010215768141,-0.053869115682045214,discovery
121,539.3634537668631,-0.05310158745289519,discovery
126,587.7562282382889,-0.052139820170215,discovery
131,638.2588624370987,-0.05121026529556013,discovery
136,690.8601460164086,-0.05031876976715316,discovery
142,756.7333660360323,-0.049306810246754734,discovery
147,813.9209055770252,-0.04850757501229331,discovery
153,885.3101534427065,-0.047590269833495895,discovery
159,959.6963993846566,-0.0467245048841854,discovery
165,1037.0660632737845,-0.04591206333262982,discovery
172,1131.032843464056,-0.04505526958091524,discovery
179,1229.0191775690132,-0.04427091004050044,discovery
186,1331.067907786356,-0.04353373045404015,discovery
193,1437.2385346197043,-0.04281715164905999,discovery
201,1563.5847861354987,-0.042036568244820834,discovery
209,1695.3065877759336,-0.04128280297617033,discovery
217,1832.4912437927642,-0.04052744584783465,discovery
225,1975.1582885666248,-0.039767914498777826,discovery
234,2142.0110752771798,-0.038968702010285745,discovery
244,2335.1488953101307,-0.03817959307229382,discovery
253,2516.04395270628,-0.03752231202053776,discovery
263,2724.866384307741,-0.036851114464390475,discovery
274,2964.062984404296,-0.03618199271953777,discovery
284,3190.1898731033507,-0.035619495026169574,discovery
296,3472.5482057200697,-0.03497609882048153,discovery
307,3742.017620782741,-0.03439700346412773,discovery
319,4047.748258858801,-0.03375035703379442,discovery
332,4392.616899980028,-0.03306975090582694,discovery
345,4751.664956398916,-0.03241371836247426,discovery
359,5154.077388337038,-0.03174974558240021,discovery
373,5572.674746949648,-0.03114551940953126,discovery
387,6007.471335892034,-0.030592141086726896,discovery
403,6524.287916292251,-0.03000601893329799,discovery
419,7062.348589602214,-0.02946268411140571,discovery
435,7621.662427201383,-0.02895656034384922,discovery
452,8239.20612578998,-0.028456862553336716,discovery
470,8919.211668521693,-0.02796594453963302,discovery
489,9666.453399881007,-0.02745860714666486,discovery
508,10444.03027032053,-0.026955759383905008,discovery
528,11295.38161276673,-0.02642637183042793,discovery
549,12225.582961901746,-0.025871071174626534,discovery
571,13239.803731987005,-0.025302553248574725,discovery
593,14294.088869220417,-0.024788127469755165,discovery
616,15438.77182497608,-0.024324789256238436,discovery
641,16732.20188499119,-0.023898206496104208,discovery
666,18077.323790849034,-0.023515780755869808,discovery
692,19531.43921818037,-0.02313968921506445,discovery
720,21160.836149088573,-0.022731486664317926,discovery
748,22856.149781818633,-0.022315388304665035,discovery
778,24745.59924661419,-0.02186897984296604,discovery
808,26710.540426717314,-0.02142690681471012,discovery
840,28889.235131973663,-0.0209798359730368,discovery
873,31225.11386699848,-0.02055741152777785,discovery
908,33801.57250698135,-0.020141742327628925,discovery
944,36558.158016084286,-0.01973895067436993,discovery
981,39503.530791540165,-0.01935974918363576,discovery
1020,42730.66697183973,-0.0190118326718276,discovery
1060,46171.2724157834,-0.018701063054259153,discovery
1102,49926.95856469587,-0.01840250490830465,discovery
1145,53924.83420508451,-0.018098321499749614,discovery
1190,58275.05211908725,-0.0177613233764446,discovery
1237,62999.69920913869,-0.017407554162674758,discovery
1286,68122.15866595297,-0.01704376407092516,discovery
1337,73666.55024381613,-0.01668100784850978,discovery
1389,79543.7332053138,-0.016316206712997976,discovery
1444,86005.25546455459,-0.01595369591252518,discovery
1501,92965.61437597574,-0.015638566611394858,discovery
1561,100582.55752202269,-0.015362701653314903,discovery
1622,108631.79653956211,-0.015130153560273028,discovery
1686,117409.00442021561,-0.01491426466266306,discovery
1753,126964.67964549141,-0.014678740327993026,discovery
1822,137199.38015278958,-0.01441120637794983,discovery
1894,148304.58218351472,-0.01411653012044189,discovery
1968,160170.62564875424,-0.013806522496509863,discovery
2046,173173.17319246224,-0.01348869245956904,validation
2127,187211.1003975264,-0.013193960946354263,validation
2211,202345.2976131246,-0.012918673527754863,validation
2298,218638.15061636432,-0.012666537941395816,validation
2389,236352.12230977614,-0.012442776066865485,validation
2483,255372.62125069182,-0.012239998833161216,validation
2581,275987.4775676655,-0.012031090885211496,validation
2683,298294.4893345634,-0.011819203388005893,validation
2789,322391.8289763371,-0.011631574623759822,validation
2899,348388.10820446187,-0.011448169700172343,validation
3013,376398.1354008168,-0.011239805442437384,validation
3132,406799.5681177592,-0.01099059050905459,validation
3255,439470.20118755335,-0.010711400150325656,validation
3384,475089.57853485434,-0.010436238908202077,validation
3517,513260.74619554006,-0.010194479612805897,validation
3656,554719.3573764986,-0.01000322897326296,validation
3800,599357.9131193145,-0.009856033723477792,validation
3950,647689.5053391932,-0.009726589407032693,validation
4106,699943.8129263879,-0.009594487810120558,validation
4268,756357.4875389975,-0.009450907788382408,validation
4437,817546.5947857974,-0.009283573431116353,validation
4612,883426.4606801546,-0.00908724798550396,validation
4794,954655.3918535504,-0.008875680091276697,validation
4983,1031549.0434366753,-0.008660457594022215,validation
5179,1114432.231543555,-0.008459193313471223,validation
5384,1204545.8511934541,-0.008264204649455651,validation
5596,1301411.9483401403,-0.008095038388926439,validation
5817,1406366.5003396552,-0.00795403756149401,validation
6047,1519908.21464994,-0.0078341029732449,validation
6285,1642035.68900886,-0.007724218599261535,validation
6533,1774313.9034325667,-0.007618964812028126,validation
6791,1917372.4745245222,-0.0075006181405151764,validation
7059,2071855.9498952543,-0.007372378201589369,validation
7337,2238442.630482426,-0.00722306868647361,validation
7627,2419101.919017433,-0.0070488184033054724,validation
7928,2614031.937319113,-0.006871658702691194,validation
8241,2824748.868367145,-0.006689465187544004,validation
8566,3052179.8538849857,-0.006519010548916326,validation
8904,3298025.6694279164,-0.006377519219480079,validation
9255,3563368.8395337015,-0.0062789752666648725,validation
9620,3850152.8518886436,-0.006214663748461506,validation
10000,4160500.350815505,-0.006166315851161722,validation
