stage,frequency,period,nearest_rational,candidate_modulus,absolute_power,raw_power,normalized_power,windowed_power,total_spectral_energy,fraction_of_total_energy,global_empirical_p,rank_within_channel,stability_across_ranges
R0_desingularized,0.00010002000400080016,9998.0,0/1,1,1117190.728038823,1473.096072653988,1.0,1117190.728038823,1126477.8733590953,0.9917555901097476,0.16666666666666666,1,pendiente_por_subventanas
R0_desingularized,0.16663332666533306,6.001200480192077,1/6,6,1117.2297702406263,5743.7378958634035,0.0010000349467649734,1117.2297702406263,1126477.8733590953,0.0009917902487592662,1.0,2,candidato_modular
R0_desingularized,0.16673334666933387,5.997600479904019,1/6,6,621.303858614888,779.233940095168,0.0005561305182916782,621.303858614888,1126477.8733590953,0.0005515455503464031,1.0,3,candidato_modular
R0_desingularized,0.10002000400080016,9.998,1/10,10,179.68474126011512,1149.0998822621696,0.00016083622675202777,179.68474126011512,1126477.8733590953,0.00015951022697348246,1.0,4,candidato_modular
R0_desingularized,0.20004000800160032,4.999,1/5,5,78.02488742746684,263.86771615334357,6.984025687756641e-05,78.02488742746684,1126477.8733590953,6.926446517302723e-05,1.0,5,candidato_modular
R0_desingularized,0.03330666133226645,30.024024024024026,1/30,30,74.32555030072868,364.0036879351276,6.652897167451771e-05,74.32555030072868,1126477.8733590953,6.598047956245599e-05,1.0,6,pendiente_por_subventanas
R0_desingularized,0.16653330666133226,6.004804804804805,1/6,6,63.92373024007313,947.1259363787109,5.721827852285196e-05,63.92373024007313,1126477.8733590953,5.674654758149493e-05,1.0,7,candidato_modular
R0_desingularized,0.1333266653330666,7.500375093773443,2/15,15,60.549581388567034,249.0029677993819,5.419807009574725e-05,60.549581388567034,1126477.8733590953,5.3751238990617275e-05,1.0,8,pendiente_por_subventanas
R0_desingularized,0.07141428285657131,14.002801120448181,1/14,14,52.680393169685445,491.32285645753274,4.715434155290875e-05,52.680393169685445,1126477.8733590953,4.67655818330416e-05,1.0,9,candidato_modular
R0_desingularized,0.16463292658531706,6.07411907654921,1/6,6,50.92738423446033,232.24160241952933,4.558521920770056e-05,50.92738423446033,1126477.8733590953,4.520939597561527e-05,1.0,10,candidato_modular
R0_desingularized,0.21424284856971396,4.667600373482726,3/14,14,49.95548556796517,210.78074260437614,4.471527046743373e-05,49.95548556796517,1126477.8733590953,4.43466194493467e-05,1.0,11,candidato_modular
R0_desingularized,0.23334666933386677,4.2854693527646806,7/30,30,49.56928535162246,219.3484318627606,4.436958176213928e-05,49.56928535162246,1126477.8733590953,4.400378074343313e-05,1.0,12,pendiente_por_subventanas
R1_mean_centered,0.16663332666533306,6.001200480192077,1/6,6,1117.2297634291488,5743.7378958634035,1.0,1117.2297634291488,9466.606752285,0.11801797546512403,0.16666666666666666,1,candidato_modular
R1_mean_centered,0.16673334666933387,5.997600479904019,1/6,6,621.3038640513079,779.233940095168,0.556111092264782,621.3038640513079,9466.606752285,0.06563110524278837,0.16666666666666666,2,candidato_modular
R1_mean_centered,0.10002000400080016,9.998,1/10,10,179.6847422327875,1149.0998822621686,0.16083060809378674,179.6847422327875,9466.606752285,0.018980902760053504,0.16666666666666666,3,candidato_modular
R1_mean_centered,0.00010002000400080016,9998.0,0/1,1,178.9913829315018,1473.096072653988,0.1602100022667834,178.9913829315018,9466.606752285,0.018907660116788707,0.16666666666666666,4,pendiente_por_subventanas
R1_mean_centered,0.20004000800160032,4.999,1/5,5,78.02488836205453,263.8677161533436,0.06983781753412141,78.02488836205453,9466.606752285,0.00824211783627975,0.16666666666666666,5,candidato_modular
R1_mean_centered,0.03330666133226645,30.024024024024026,1/30,30,74.32561570669489,364.00368793512797,0.06652670573201068,74.32561570669489,9466.606752285,0.007851347124855964,0.16666666666666666,6,pendiente_por_subventanas
R1_mean_centered,0.16653330666133226,6.004804804804805,1/6,6,63.92373162804308,947.1259363787101,0.05721628059016253,63.92373162804308,9466.606752285,0.006752549598895454,0.16666666666666666,7,candidato_modular
R1_mean_centered,0.1333266653330666,7.500375093773443,2/15,15,60.54958248475713,249.00296779938304,0.05419617742630699,60.54958248475713,9466.606752285,0.0063961231378014075,0.16666666666666666,8,pendiente_por_subventanas
R1_mean_centered,0.07141428285657131,14.002801120448181,1/14,14,52.68038185815614,491.32285645753365,0.04715268388165973,52.68038185815614,9466.606752285,0.005564864289460468,0.16666666666666666,9,candidato_modular
R1_mean_centered,0.16463292658531706,6.07411907654921,1/6,6,50.927383051270155,232.24160241952882,0.04558362542630186,50.927383051270155,9466.606752285,0.005379687187172697,0.16666666666666666,10,candidato_modular
R1_mean_centered,0.21424284856971396,4.667600373482726,3/14,14,49.955485287642006,210.78074260437603,0.044713707889693206,49.955485287642006,9466.606752285,0.005277021280680536,0.16666666666666666,11,candidato_modular
R1_mean_centered,0.23334666933386677,4.2854693527646806,7/30,30,49.56928553967955,219.3484318627603,0.044368031681804615,49.56928553967955,9466.606752285,0.005236225274459063,0.16666666666666666,12,pendiente_por_subventanas
R2_log_detrended,0.16663332666533306,6.001200480192077,1/6,6,1117.2297633121061,5739.725056609606,1.0,1117.2297633121061,9314.830369823789,0.11994096714111618,0.16666666666666666,1,candidato_modular
R2_log_detrended,0.16673334666933387,5.997600479904019,1/6,6,621.3038641829935,777.785400255908,0.556111092440909,621.3038641829935,9314.830369823789,0.06670050226526529,0.16666666666666666,2,candidato_modular
R2_log_detrended,0.10002000400080016,9.998,1/10,10,179.68474294962616,1144.4349716551633,0.1608306087522571,179.68474294962616,9314.830369823789,0.019290178759640182,0.16666666666666666,3,candidato_modular
R2_log_detrended,0.20004000800160032,4.999,1/5,5,78.02488838424503,264.16176308524365,0.06983781756129981,78.02488838424503,9314.830369823789,0.008376415381327126,0.16666666666666666,4,candidato_modular
R2_log_detrended,0.03330666133226645,30.024024024024026,1/30,30,74.32561423684695,368.0250408075623,0.0665267044233618,74.32561423684695,9314.830369823789,0.007979277269249185,0.16666666666666666,5,pendiente_por_subventanas
R2_log_detrended,0.16653330666133226,6.004804804804805,1/6,6,63.923731636470634,946.0582497004406,0.057216280603699855,63.923731636470634,9314.830369823789,0.006862576031825247,0.16666666666666666,6,candidato_modular
R2_log_detrended,0.1333266653330666,7.500375093773443,2/15,15,60.54958265040003,247.38076905165627,0.05419617758024683,60.54958265040003,9314.830369823789,0.006500341954326482,0.16666666666666666,7,pendiente_por_subventanas
R2_log_detrended,0.07141428285657131,14.002801120448181,1/14,14,52.68038191190518,489.15546510736414,0.04715268393470873,52.68038191190518,9314.830369823789,0.005655538514428337,0.16666666666666666,8,candidato_modular
R2_log_detrended,0.16463292658531706,6.07411907654921,1/6,6,50.9273830508534,231.7786158619382,0.04558362543070424,50.9273830508534,9314.830369823789,0.005467344119957045,0.16666666666666666,9,candidato_modular
R2_log_detrended,0.21424284856971396,4.667600373482726,3/14,14,49.95548527034729,211.62316996659519,0.04471370787889748,49.95548527034729,9314.830369823789,0.005363005367460311,0.16666666666666666,10,candidato_modular
R2_log_detrended,0.23334666933386677,4.2854693527646806,7/30,30,49.569285542864094,219.61253722652805,0.04436803168930307,49.569285542864094,9314.830369823789,0.0053215446309627015,0.16666666666666666,11,pendiente_por_subventanas
